date,plant,vehicle_model,part_name,supplier,defect_type,inspection_method,production_volume,defect_count,rework_cost,warranty_cost,test_stage,failure_mode,severity_score
2024-09-27,Plant-C,SUV-B,Fender Cladding,Supplier-Gamma,Scratch,Automated,1254,16,5069,15120,DV,Dimensional Variation,5
2024-07-08,Plant-C,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Scratch,Automated,1495,17,9111,4939,DV,Paint Peeling,7
2024-06-23,Plant-A,Utility-A,Door Trim,Supplier-Beta,Crack,Automated,1376,13,13159,14036,PV,Loose Mounting,10
2024-02-20,Plant-B,SUV-A,Dashboard Panel,Supplier-Beta,Warping,Automated,1088,14,9653,19301,Production,Material Crack,9
2024-12-29,Plant-B,SUV-B,Fender Cladding,Supplier-Gamma,Fitment Gap,Manual,772,22,10765,13743,PV,Paint Peeling,8
2024-02-24,Plant-B,Offroad-A,Rear Bumper,Supplier-Delta,Scratch,Automated,1381,17,10913,10356,Production,Paint Peeling,1
2024-08-31,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Delta,Paint Defect,Automated,977,19,4853,4208,DV,Surface Damage,8
2024-11-15,Plant-A,Offroad-A,Dashboard Panel,Supplier-Beta,Fitment Gap,Automated,557,16,8901,9270,Production,Paint Peeling,1
2024-05-10,Plant-B,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Fitment Gap,Manual,1258,8,7592,16345,DV,Loose Mounting,5
2024-11-02,Plant-B,SUV-A,Rear Bumper,Supplier-Gamma,Fitment Gap,Manual,1482,14,8512,8846,DV,Dimensional Variation,9
2024-05-14,Plant-B,Utility-A,Door Trim,Supplier-Gamma,Warping,Automated,1444,15,5620,9728,PV,Paint Peeling,4
2024-01-21,Plant-A,SUV-B,Front Bumper,Supplier-Delta,Scratch,Automated,1004,15,14978,16491,DV,Loose Mounting,6
2024-11-24,Plant-B,Offroad-A,Wheel Arch Cladding,Supplier-Beta,Paint Defect,Manual,886,16,14208,10328,PV,Material Crack,1
2024-06-15,Plant-B,SUV-B,Rear Bumper,Supplier-Gamma,Crack,Manual,960,9,3743,7096,Production,Material Crack,1
2024-09-30,Plant-A,SUV-B,Front Bumper,Supplier-Beta,Paint Defect,Manual,1107,13,1067,10876,Production,Paint Peeling,6
2024-03-29,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Beta,Paint Defect,Automated,544,17,5794,13924,DV,Dimensional Variation,7
2024-11-11,Plant-C,SUV-B,Fender Cladding,Supplier-Alpha,Paint Defect,Manual,790,12,7382,13595,PV,Paint Peeling,7
2024-01-14,Plant-B,SUV-A,Dashboard Panel,Supplier-Delta,Crack,Manual,757,17,12002,19414,PV,Surface Damage,8
2024-08-29,Plant-C,Offroad-A,Dashboard Panel,Supplier-Beta,Paint Defect,Automated,1314,14,7238,12818,DV,Paint Peeling,1
2024-09-21,Plant-D,SUV-B,Rear Bumper,Supplier-Alpha,Paint Defect,Automated,1270,9,12952,16411,PV,Surface Damage,4
2024-12-11,Plant-D,Offroad-A,Fender Cladding,Supplier-Delta,Scratch,Manual,745,14,8697,19749,Production,Surface Damage,2
2024-02-22,Plant-B,SUV-A,Door Trim,Supplier-Gamma,Scratch,Automated,739,20,1976,3051,PV,Surface Damage,3
2024-12-05,Plant-A,Offroad-A,Front Bumper,Supplier-Gamma,Scratch,Automated,912,22,4274,14275,Production,Surface Damage,1
2024-04-01,Plant-D,Offroad-A,Rear Bumper,Supplier-Alpha,Fitment Gap,Automated,627,18,9194,10761,PV,Surface Damage,10
2024-09-20,Plant-C,SUV-A,Wheel Arch Cladding,Supplier-Gamma,Paint Defect,Manual,1213,20,4278,2772,Production,Material Crack,6
2024-02-04,Plant-C,SUV-B,Dashboard Panel,Supplier-Alpha,Warping,Automated,775,14,1568,8749,DV,Paint Peeling,7
2024-07-24,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Alpha,Warping,Automated,917,18,7021,19590,Production,Paint Peeling,4
2024-03-21,Plant-C,Utility-A,Front Bumper,Supplier-Gamma,Warping,Automated,706,14,2348,10671,Production,Surface Damage,9
2024-02-19,Plant-D,Offroad-A,Fender Cladding,Supplier-Delta,Crack,Automated,1051,21,7942,2827,Production,Surface Damage,4
2024-12-25,Plant-B,SUV-B,Fender Cladding,Supplier-Alpha,Scratch,Automated,864,14,13039,19363,DV,Surface Damage,10
2024-01-02,Plant-B,Utility-A,Rear Bumper,Supplier-Delta,Scratch,Automated,1332,9,4593,8008,DV,Paint Peeling,5
2024-02-23,Plant-C,SUV-B,Rear Bumper,Supplier-Delta,Scratch,Automated,845,16,1002,3896,PV,Surface Damage,1
2024-04-15,Plant-B,Offroad-A,Fender Cladding,Supplier-Alpha,Crack,Automated,1330,16,14323,6601,DV,Surface Damage,5
2024-09-16,Plant-C,SUV-A,Rear Bumper,Supplier-Delta,Paint Defect,Automated,1067,16,8003,5801,Production,Dimensional Variation,3
2024-11-05,Plant-C,SUV-B,Fender Cladding,Supplier-Alpha,Fitment Gap,Manual,659,11,6579,9902,Production,Paint Peeling,3
2024-07-09,Plant-A,SUV-B,Front Bumper,Supplier-Gamma,Scratch,Automated,1333,22,11857,11835,DV,Dimensional Variation,7
2024-08-05,Plant-D,SUV-A,Rear Bumper,Supplier-Gamma,Paint Defect,Automated,595,12,4421,13789,PV,Loose Mounting,3
2024-02-13,Plant-D,Offroad-A,Fender Cladding,Supplier-Gamma,Warping,Automated,924,15,1786,8894,Production,Dimensional Variation,4
2024-06-10,Plant-C,SUV-B,Rear Bumper,Supplier-Gamma,Fitment Gap,Automated,1424,17,1916,6450,Production,Dimensional Variation,4
2024-07-20,Plant-D,Offroad-A,Wheel Arch Cladding,Supplier-Gamma,Warping,Automated,615,9,10424,4238,Production,Loose Mounting,3
2024-09-26,Plant-B,Offroad-A,Dashboard Panel,Supplier-Delta,Paint Defect,Automated,711,15,12366,12554,PV,Dimensional Variation,8
2024-12-16,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Delta,Paint Defect,Manual,1098,12,2778,10017,DV,Dimensional Variation,10
2024-10-30,Plant-A,SUV-A,Door Trim,Supplier-Delta,Warping,Automated,806,12,1330,13583,Production,Surface Damage,1
2024-09-27,Plant-B,Offroad-A,Fender Cladding,Supplier-Beta,Fitment Gap,Automated,767,14,1540,8655,Production,Loose Mounting,9
2024-08-02,Plant-A,Offroad-A,Door Trim,Supplier-Beta,Warping,Manual,543,23,13550,16549,DV,Surface Damage,5
2024-09-08,Plant-A,Utility-A,Fender Cladding,Supplier-Alpha,Warping,Manual,1405,11,11288,7387,PV,Material Crack,10
2024-07-08,Plant-D,Utility-A,Dashboard Panel,Supplier-Beta,Warping,Manual,1094,16,9680,11105,DV,Paint Peeling,4
2024-10-22,Plant-D,Utility-A,Rear Bumper,Supplier-Gamma,Fitment Gap,Automated,957,15,5493,14695,DV,Dimensional Variation,7
2024-07-31,Plant-C,SUV-B,Fender Cladding,Supplier-Gamma,Crack,Automated,1222,20,7927,2230,PV,Material Crack,8
2024-07-26,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Gamma,Fitment Gap,Automated,1357,19,4682,13395,DV,Loose Mounting,8
2024-08-24,Plant-A,Utility-A,Rear Bumper,Supplier-Alpha,Warping,Automated,971,15,2679,14796,PV,Material Crack,6
2024-12-03,Plant-A,SUV-A,Dashboard Panel,Supplier-Alpha,Scratch,Automated,508,8,11068,17875,DV,Loose Mounting,8
2024-02-22,Plant-B,SUV-A,Wheel Arch Cladding,Supplier-Alpha,Scratch,Automated,1424,17,14196,19172,PV,Loose Mounting,10
2024-10-06,Plant-A,Utility-A,Rear Bumper,Supplier-Alpha,Paint Defect,Manual,1168,13,6532,15501,DV,Loose Mounting,1
2024-08-04,Plant-C,SUV-B,Fender Cladding,Supplier-Delta,Crack,Automated,1496,19,9660,14286,DV,Dimensional Variation,4
2024-09-08,Plant-C,SUV-B,Fender Cladding,Supplier-Alpha,Paint Defect,Automated,1359,11,1840,7439,DV,Loose Mounting,8
2024-07-06,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Manual,688,11,4449,19050,DV,Dimensional Variation,7
2024-02-10,Plant-D,Offroad-A,Front Bumper,Supplier-Beta,Scratch,Automated,880,19,6086,2122,DV,Material Crack,3
2024-06-05,Plant-D,SUV-A,Fender Cladding,Supplier-Delta,Fitment Gap,Manual,1331,14,5156,6543,PV,Material Crack,3
2024-01-15,Plant-C,Offroad-A,Front Bumper,Supplier-Gamma,Paint Defect,Manual,1142,18,1932,5619,Production,Dimensional Variation,2
2024-10-27,Plant-A,SUV-B,Rear Bumper,Supplier-Beta,Paint Defect,Manual,1226,13,3832,16938,PV,Material Crack,9
2024-03-05,Plant-D,SUV-B,Front Bumper,Supplier-Alpha,Crack,Manual,614,13,12262,17835,Production,Surface Damage,4
2024-12-10,Plant-B,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Scratch,Automated,1001,15,4642,2061,Production,Material Crack,3
2024-11-22,Plant-D,SUV-B,Door Trim,Supplier-Gamma,Fitment Gap,Automated,1134,19,10815,4478,DV,Surface Damage,7
2024-01-09,Plant-C,Offroad-A,Door Trim,Supplier-Gamma,Crack,Automated,887,12,4950,8369,DV,Material Crack,9
2024-12-09,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Beta,Fitment Gap,Automated,938,13,14742,10063,DV,Material Crack,3
2024-05-08,Plant-A,Utility-A,Door Trim,Supplier-Delta,Fitment Gap,Automated,1409,12,8941,18601,PV,Loose Mounting,4
2024-05-15,Plant-D,Offroad-A,Wheel Arch Cladding,Supplier-Delta,Paint Defect,Automated,1369,16,1799,5500,Production,Surface Damage,2
2024-03-03,Plant-C,SUV-A,Fender Cladding,Supplier-Gamma,Crack,Manual,1344,20,8454,18462,PV,Dimensional Variation,9
2024-05-18,Plant-C,SUV-A,Front Bumper,Supplier-Alpha,Paint Defect,Manual,1423,12,12665,2535,DV,Loose Mounting,2
2024-03-21,Plant-B,SUV-A,Door Trim,Supplier-Delta,Warping,Manual,818,20,1885,11926,Production,Surface Damage,8
2024-06-11,Plant-C,SUV-B,Fender Cladding,Supplier-Delta,Fitment Gap,Manual,1434,8,12503,3519,PV,Loose Mounting,7
2024-10-15,Plant-B,SUV-A,Door Trim,Supplier-Alpha,Crack,Manual,1375,15,4080,17427,PV,Paint Peeling,7
2024-09-17,Plant-A,SUV-B,Rear Bumper,Supplier-Beta,Scratch,Automated,1203,17,8682,15795,PV,Loose Mounting,8
2024-08-18,Plant-C,SUV-A,Wheel Arch Cladding,Supplier-Beta,Paint Defect,Automated,943,12,5733,16631,DV,Dimensional Variation,5
2024-02-10,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Alpha,Warping,Manual,1159,17,12236,2191,DV,Paint Peeling,6
2024-01-28,Plant-A,SUV-B,Fender Cladding,Supplier-Beta,Warping,Manual,527,17,3630,5754,Production,Dimensional Variation,6
2024-05-14,Plant-D,SUV-B,Rear Bumper,Supplier-Gamma,Warping,Automated,1135,16,4481,7309,Production,Dimensional Variation,8
2024-07-19,Plant-D,Offroad-A,Front Bumper,Supplier-Delta,Paint Defect,Automated,1491,17,10100,10185,Production,Surface Damage,9
2024-11-23,Plant-D,SUV-A,Rear Bumper,Supplier-Beta,Scratch,Automated,897,17,10889,6045,PV,Material Crack,4
2024-09-24,Plant-A,SUV-B,Rear Bumper,Supplier-Gamma,Crack,Automated,576,15,1298,12682,Production,Loose Mounting,10
2024-02-02,Plant-A,Offroad-A,Dashboard Panel,Supplier-Gamma,Fitment Gap,Automated,1086,11,4744,14589,DV,Dimensional Variation,6
2024-02-17,Plant-C,Offroad-A,Front Bumper,Supplier-Gamma,Scratch,Manual,857,19,13612,15075,DV,Paint Peeling,10
2024-03-02,Plant-D,SUV-B,Front Bumper,Supplier-Gamma,Paint Defect,Manual,685,12,10891,16313,DV,Surface Damage,10
2024-08-03,Plant-B,SUV-A,Rear Bumper,Supplier-Gamma,Crack,Manual,1050,10,14902,8197,PV,Loose Mounting,9
2024-10-19,Plant-C,Offroad-A,Door Trim,Supplier-Alpha,Fitment Gap,Automated,733,7,12896,11433,PV,Loose Mounting,4
2024-04-08,Plant-A,SUV-A,Dashboard Panel,Supplier-Delta,Crack,Manual,747,13,4273,16471,PV,Surface Damage,8
2024-06-20,Plant-B,SUV-A,Door Trim,Supplier-Delta,Fitment Gap,Manual,1453,15,2859,18869,DV,Loose Mounting,10
2024-12-25,Plant-A,Offroad-A,Rear Bumper,Supplier-Alpha,Fitment Gap,Manual,898,14,1998,8163,DV,Material Crack,5
2024-08-01,Plant-B,SUV-B,Door Trim,Supplier-Alpha,Warping,Automated,828,14,9036,12191,DV,Material Crack,6
2024-02-04,Plant-C,SUV-A,Front Bumper,Supplier-Gamma,Paint Defect,Automated,1142,14,6348,7184,Production,Loose Mounting,7
2024-08-14,Plant-B,Utility-A,Front Bumper,Supplier-Beta,Scratch,Automated,504,14,6932,3442,Production,Loose Mounting,9
2024-04-10,Plant-C,SUV-B,Door Trim,Supplier-Delta,Warping,Automated,847,12,9549,9815,DV,Surface Damage,2
2024-05-10,Plant-A,Offroad-A,Front Bumper,Supplier-Beta,Warping,Manual,1437,16,8775,6111,PV,Paint Peeling,4
2024-09-13,Plant-B,Utility-A,Wheel Arch Cladding,Supplier-Delta,Crack,Manual,898,13,10943,4032,Production,Dimensional Variation,9
2024-01-05,Plant-D,SUV-A,Front Bumper,Supplier-Gamma,Fitment Gap,Automated,758,8,11579,14607,Production,Dimensional Variation,2
2024-08-05,Plant-D,SUV-B,Rear Bumper,Supplier-Beta,Fitment Gap,Automated,1256,14,10135,9117,DV,Paint Peeling,7
2024-09-11,Plant-A,Utility-A,Fender Cladding,Supplier-Delta,Crack,Automated,918,13,1040,12660,PV,Loose Mounting,1
2024-12-24,Plant-B,SUV-B,Door Trim,Supplier-Delta,Paint Defect,Manual,890,14,1933,3147,DV,Dimensional Variation,1
2024-10-09,Plant-D,SUV-A,Dashboard Panel,Supplier-Gamma,Fitment Gap,Automated,1361,23,8491,8663,DV,Material Crack,5
2024-07-25,Plant-C,SUV-B,Door Trim,Supplier-Beta,Warping,Manual,1419,14,5072,14266,PV,Surface Damage,7
2024-01-15,Plant-B,Utility-A,Front Bumper,Supplier-Gamma,Warping,Automated,1426,20,2226,5875,DV,Paint Peeling,8
2024-12-11,Plant-B,SUV-B,Front Bumper,Supplier-Beta,Fitment Gap,Automated,1089,18,2290,17029,Production,Dimensional Variation,2
2024-02-11,Plant-D,Offroad-A,Fender Cladding,Supplier-Beta,Fitment Gap,Automated,1347,11,7927,8502,PV,Paint Peeling,3
2024-06-27,Plant-C,Offroad-A,Fender Cladding,Supplier-Delta,Paint Defect,Manual,614,18,12880,7968,Production,Loose Mounting,6
2024-03-03,Plant-C,Utility-A,Dashboard Panel,Supplier-Alpha,Fitment Gap,Automated,503,18,13352,10628,DV,Dimensional Variation,4
2024-12-17,Plant-C,SUV-B,Rear Bumper,Supplier-Beta,Paint Defect,Manual,1142,18,10696,15073,PV,Paint Peeling,9
2024-08-18,Plant-B,Utility-A,Wheel Arch Cladding,Supplier-Beta,Warping,Manual,1238,15,13998,3512,Production,Dimensional Variation,5
2024-08-28,Plant-A,SUV-B,Rear Bumper,Supplier-Gamma,Paint Defect,Automated,627,14,10030,14394,Production,Dimensional Variation,7
2024-02-21,Plant-B,SUV-A,Dashboard Panel,Supplier-Beta,Fitment Gap,Manual,508,15,9704,11955,Production,Dimensional Variation,9
2024-04-05,Plant-B,Offroad-A,Door Trim,Supplier-Beta,Scratch,Automated,823,13,3502,5107,PV,Paint Peeling,3
2024-08-09,Plant-D,SUV-A,Front Bumper,Supplier-Beta,Fitment Gap,Automated,617,15,4075,18886,Production,Surface Damage,1
2024-08-18,Plant-A,SUV-B,Rear Bumper,Supplier-Beta,Scratch,Automated,966,16,7737,15339,PV,Surface Damage,4
2024-08-24,Plant-C,SUV-A,Front Bumper,Supplier-Beta,Warping,Automated,1355,18,5340,18707,Production,Paint Peeling,5
2024-05-22,Plant-D,Utility-A,Front Bumper,Supplier-Alpha,Crack,Manual,1199,14,3596,17490,PV,Material Crack,2
2024-06-19,Plant-B,Utility-A,Rear Bumper,Supplier-Delta,Warping,Manual,1150,10,2421,6664,Production,Loose Mounting,9
2024-01-29,Plant-A,SUV-B,Rear Bumper,Supplier-Beta,Warping,Automated,962,20,11062,18801,PV,Paint Peeling,5
2024-02-05,Plant-C,Offroad-A,Fender Cladding,Supplier-Gamma,Warping,Automated,1431,15,2816,15048,DV,Material Crack,5
2024-01-13,Plant-C,Utility-A,Dashboard Panel,Supplier-Gamma,Paint Defect,Manual,624,15,2873,16627,PV,Paint Peeling,1
2024-06-08,Plant-B,Offroad-A,Dashboard Panel,Supplier-Beta,Warping,Manual,722,16,13225,2536,PV,Loose Mounting,1
2024-11-22,Plant-C,SUV-B,Wheel Arch Cladding,Supplier-Beta,Crack,Manual,827,16,12434,12317,Production,Paint Peeling,10
2024-07-05,Plant-C,Offroad-A,Fender Cladding,Supplier-Beta,Fitment Gap,Manual,1397,18,11265,3014,Production,Dimensional Variation,1
2024-08-30,Plant-A,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Scratch,Automated,1317,12,12475,6336,DV,Paint Peeling,7
2024-03-26,Plant-D,SUV-A,Rear Bumper,Supplier-Delta,Warping,Manual,758,19,13942,18666,DV,Material Crack,3
2024-10-10,Plant-A,SUV-B,Dashboard Panel,Supplier-Gamma,Scratch,Manual,566,12,4973,9688,Production,Paint Peeling,5
2024-03-06,Plant-D,SUV-A,Dashboard Panel,Supplier-Alpha,Warping,Automated,1096,13,11404,9282,DV,Surface Damage,2
2024-06-18,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Automated,1382,18,8806,4094,DV,Paint Peeling,2
2024-02-14,Plant-D,Utility-A,Door Trim,Supplier-Beta,Scratch,Manual,561,14,9106,8993,DV,Material Crack,1
2024-03-02,Plant-C,Utility-A,Fender Cladding,Supplier-Delta,Warping,Automated,1471,10,6161,14976,PV,Paint Peeling,8
2024-05-13,Plant-A,Offroad-A,Fender Cladding,Supplier-Beta,Warping,Manual,1025,13,4852,11869,PV,Surface Damage,8
2024-10-10,Plant-C,SUV-B,Fender Cladding,Supplier-Gamma,Crack,Automated,1133,9,3703,15077,DV,Paint Peeling,5
2024-01-28,Plant-B,SUV-B,Dashboard Panel,Supplier-Delta,Crack,Manual,778,15,1553,10890,DV,Loose Mounting,8
2024-04-17,Plant-A,SUV-B,Front Bumper,Supplier-Beta,Crack,Automated,622,13,14349,11668,Production,Surface Damage,2
2024-02-13,Plant-D,Offroad-A,Dashboard Panel,Supplier-Gamma,Paint Defect,Manual,1088,15,10920,16365,DV,Loose Mounting,5
2024-12-05,Plant-C,Utility-A,Front Bumper,Supplier-Alpha,Scratch,Automated,771,16,3692,6294,DV,Surface Damage,9
2024-10-12,Plant-C,SUV-B,Dashboard Panel,Supplier-Gamma,Paint Defect,Manual,1476,11,13894,16598,DV,Material Crack,9
2024-11-26,Plant-A,Offroad-A,Rear Bumper,Supplier-Gamma,Fitment Gap,Automated,1001,15,12690,8508,PV,Paint Peeling,2
2024-05-07,Plant-A,SUV-B,Dashboard Panel,Supplier-Gamma,Warping,Automated,1157,10,6151,12244,Production,Paint Peeling,7
2024-12-13,Plant-D,SUV-A,Rear Bumper,Supplier-Delta,Warping,Automated,768,9,12714,10027,DV,Loose Mounting,2
2024-08-18,Plant-D,SUV-B,Front Bumper,Supplier-Alpha,Warping,Automated,1392,12,3345,8166,Production,Surface Damage,9
2024-07-08,Plant-B,SUV-A,Fender Cladding,Supplier-Delta,Crack,Automated,1067,15,1381,7767,PV,Material Crack,1
2024-08-12,Plant-D,Offroad-A,Front Bumper,Supplier-Alpha,Warping,Manual,717,20,11756,2168,Production,Surface Damage,10
2024-10-09,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Beta,Crack,Automated,1184,12,12746,2943,Production,Dimensional Variation,9
2024-04-30,Plant-B,Utility-A,Fender Cladding,Supplier-Beta,Fitment Gap,Automated,1051,17,1607,8981,Production,Loose Mounting,4
2024-04-25,Plant-B,SUV-B,Dashboard Panel,Supplier-Gamma,Paint Defect,Manual,1370,28,10494,4506,PV,Surface Damage,9
2024-08-20,Plant-B,Offroad-A,Dashboard Panel,Supplier-Gamma,Paint Defect,Manual,658,19,3277,5404,Production,Loose Mounting,7
2024-09-15,Plant-A,Utility-A,Dashboard Panel,Supplier-Delta,Paint Defect,Automated,859,13,12775,17553,DV,Dimensional Variation,4
2024-12-24,Plant-D,SUV-B,Dashboard Panel,Supplier-Alpha,Crack,Automated,964,11,12625,6016,DV,Surface Damage,7
2024-07-16,Plant-B,Offroad-A,Dashboard Panel,Supplier-Alpha,Scratch,Automated,1043,14,11631,3409,DV,Surface Damage,10
2024-05-16,Plant-A,SUV-A,Front Bumper,Supplier-Alpha,Scratch,Manual,747,13,9131,10914,PV,Loose Mounting,10
2024-11-13,Plant-A,Offroad-A,Rear Bumper,Supplier-Gamma,Fitment Gap,Automated,1140,24,2349,6470,Production,Dimensional Variation,10
2024-06-13,Plant-B,SUV-A,Front Bumper,Supplier-Gamma,Scratch,Manual,790,18,5826,11496,Production,Material Crack,6
2024-08-12,Plant-B,Utility-A,Door Trim,Supplier-Alpha,Fitment Gap,Manual,535,18,7124,13119,PV,Paint Peeling,6
2024-11-02,Plant-C,Utility-A,Front Bumper,Supplier-Gamma,Warping,Manual,1478,17,6394,7093,Production,Loose Mounting,7
2024-08-21,Plant-B,SUV-B,Fender Cladding,Supplier-Alpha,Paint Defect,Automated,1359,15,12369,14903,DV,Loose Mounting,4
2024-06-20,Plant-C,SUV-B,Dashboard Panel,Supplier-Delta,Crack,Automated,565,10,6547,16161,Production,Paint Peeling,4
2024-05-31,Plant-B,SUV-B,Front Bumper,Supplier-Beta,Fitment Gap,Automated,1296,15,7646,7660,Production,Surface Damage,4
2024-11-10,Plant-B,Utility-A,Rear Bumper,Supplier-Alpha,Crack,Automated,926,10,12100,12788,Production,Loose Mounting,9
2024-06-08,Plant-D,SUV-A,Dashboard Panel,Supplier-Gamma,Crack,Manual,656,16,2829,18620,Production,Material Crack,8
2024-04-05,Plant-B,SUV-B,Wheel Arch Cladding,Supplier-Delta,Paint Defect,Automated,1054,16,3987,10558,Production,Dimensional Variation,7
2024-08-20,Plant-B,SUV-B,Door Trim,Supplier-Gamma,Warping,Manual,1286,22,5485,12988,Production,Surface Damage,5
2024-06-28,Plant-C,Utility-A,Fender Cladding,Supplier-Gamma,Warping,Automated,620,11,11498,4646,PV,Loose Mounting,5
2024-04-22,Plant-C,SUV-A,Rear Bumper,Supplier-Gamma,Scratch,Manual,691,10,5063,19410,DV,Material Crack,9
2024-11-13,Plant-D,Offroad-A,Door Trim,Supplier-Alpha,Warping,Automated,975,16,10711,17534,PV,Paint Peeling,7
2024-02-21,Plant-B,SUV-B,Front Bumper,Supplier-Delta,Paint Defect,Automated,853,12,4663,4833,PV,Surface Damage,5
